dediac	original_gold	max_gold	max_gold_alt
والمؤسسات	وَالْمُؤَسَّسَاتِ	وَالْمُؤَسَّسَاتِ	
الثقافية	الثَّقَافِيَّةِ	الثَّقَافِيَّةِ	
)	)	)	
ومشروع	وَمَشْرُوعِ	وَمَشْرُوعِ	
"	"	"	
OpenStreetMap	OpenStreetMap	OpenStreetMap	
"	"	"	
(	(	(	
لإنشاء	لِإِنْشَاءِ	لِإِنْشَاءِ	
الخرائط	الْخَرَائِطِ	الْخَرَائِطِ	
الحرة	الْحُرَّةِ	الْحُرَّةِ	
)	)	)	
وغيرها	وَغَيْرِهَا	وَغَيْرِهَا	
من	مِنْ	مِنَ	
المواضيع	الْمَوَاضِيعِ	الْمَوَاضِيعِ	
.	.	.	
			
وكانت	وَكَانَتْ	وَكَانَتْ	
هناك	هُنَاكَ	هُنَاكَ	
مشاركة	مُشَارَكَةٌ	مُشَارَكَةٌ	
عربية	عَرَبِيَّةٌ	عَرَبِيَّةٌ	
جيدة	جَيِّدَةٌ	جَيِّدَةٌ	
في	فِي	فِي	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
لهذا	لِهَذَا	لِهَٰذَا	
العام	الْعَامِ	الْعَامِ	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
كانت	كَانَتْ	كَانَتْ	
من	مِنْ	مِنْ	
نصيب	نَصِيبِ	نَصِيبِ	
المساهمين	الْمُسَاهِمِينَ	الْمُسَاهِمِينَ	
العرب	الْعَرَبِ	الْعَرَبِ	
ثلاث	ثَلَاثٌ	ثَلَاثٌ	
من	مِنْ	مِنْ	
محاضرات	مُحَاضَرَاتِ	مُحَاضَرَاتِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
.	.	.	
فقد	فَقَدْ	فَقَدْ	
تحدث	تَحَدَّثَ	تَحَدَّثَ	
زكريا	زَكَرِيَّا	زَكَرِيَّا	
من	مِنْ	مِنَ	
المغرب	الْمَغْرِبِ	الْمَغْرِبِ	
في	فِي	فِي	
محاضرته	مُحَاضَرَتِهِ	مُحَاضَرَتِهِ	
"	"	"	
استراتيجية	اسْتِرَاتِيجِيَّةٌ	اسْتِرَاتِيجِيَّةٌ	إِسْتْرَاتِيجِيَّةٌ
للكشف	لِلْكَشْفِ	لِلْكَشْفِ	
التدريجي	التَّدْرِيجِيِّ	التَّدْرِيجِيِّ	
في	فِي	فِي	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
"	"	"	
عن	عَنْ	عَنِ	
المشاكل	الْمَشَاكِلِ	الْمَشَاكِلِ	
التي	الَّتِي	الَّتِي	
يعاني	يُعَانِي	يُعَانِي	
منها	مِنْهَا	مِنْهَا	
المساهمون	الْمُسَاهِمُونَ	الْمُسَاهِمُونَ	
الجدد	الْجُدُدُ	الْجُدُدُ	
على	عَلَى	عَلَى	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
،	،	،	
والتعقيدات	وَالتَّعْقِيدَاتِ	وَالتَّعْقِيدَاتِ	
التي	الَّتِي	الَّتِي	
تمتلئ	تَمْتَلِئُ	تَمْتَلِئُ	
بها	بِهَا	بِهَا	
واجهة	وَاجِهَةُ	وَاجِهَةُ	
المستخدمين	الْمُسْتَخْدِمِينَ	الْمُسْتَخْدِمِينَ	
في	فِي	فِي	
الموسوعة	الْمَوْسُوعَةِ	الْمَوْسُوعَةِ	
،	،	،	
وناقش	وَنَاقَشَ	وَنَاقَشَ	
مع	مَعَ	مَعَ	
الحضور	الْحُضُورِ	الْحُضُورِ	
إمكانيات	إِمْكَانِيَّاتِ	إِمْكَانِيَّاتِ	
حل	حَلِّ	حَلِّ	
هذه	هَذِهِ	هَٰذِهِ	
المشاكل	الْمَشَاكِلِ	الْمَشَاكِلِ	
والوسائل	وَالْوَسَائِلَ	وَالْوَسَائِلَ	
الممكنة	الْمُمْكِنَةَ	الْمُمْكِنَةَ	
لجعل	لِجَعْلِ	لِجَعْلِ	
واجهة	وَاجِهَةِ	وَاجِهَةِ	
مواقع	مَوَاقِعِ	مَوَاقِعِ	
الويكي	الْوِيكِي	الْوِيكِي	
أكثر	أَكْثَرَ	أَكْثَرَ	
بساطة	بَسَاطَةً	بَسَاطَةً	
وسلاسة	وَسَلَاسَةً	وَسَلَاسَةً	
.	.	.	
من	مِنْ	مِنْ	
جهة	جِهَةٍ	جِهَةٍ	
أخرى	أُخْرَى	أُخْرَى	
،	،	،	
تناولت	تَنَاوَلَتْ	تَنَاوَلَتْ	
محاضرة	مُحَاضَرَةٌ	مُحَاضَرَةٌ	
مشتركة	مُشْتَرَكَةٌ	مُشْتَرَكَةٌ	
لثلاثة	لِثَلَاثَةِ	لِثَلَاثَةِ	
مساهمين	مُسَاهِمِينَ	مُسَاهِمِينَ	
آخرين	آخَرِينَ	آخَرِينَ	
التحديات	التَّحَدِّيَاتِ	التَّحَدِّيَاتِ	
المتعددة	الْمُتَعَدِّدَةَ	الْمُتَعَدِّدَةَ	
التي	الَّتِي	الَّتِي	
تواجهها	تُوَاجِهُهَا	تُوَاجِهُهَا	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
العربية	الْعَرَبِيَّةُ	الْعَرَبِيَّةُ	
،	،	،	
والمشاكل	وَالْمَشَاكِلَ	وَالْمَشَاكِلَ	
التقنية	التِّقْنِيَّةَ	التِّقْنِيَّةَ	التَّقْنِيَّةَ
التي	الَّتِي	الَّتِي	
يعاني	يُعَانِي	يُعَانِي	
منها	مِنْهَا	مِنْهَا	
الموقع	الْمَوْقِعُ	الْمَوْقِعُ	
،	،	،	
وأعقب	وَأَعْقَبَ	وَأَعْقَبَ	
المحاضرة	الْمُحَاضَرَةَ	الْمُحَاضَرَةَ	
نقاش	نِقَاشٌ	نِقَاشٌ	
مستفيض	مُسْتَفِيضٌ	مُسْتَفِيضٌ	
عن	عَنْ	عَنِ	
الحلول	الْحُلُولِ	الْحُلُولِ	
المناسبة	الْمُنَاسِبَةِ	الْمُنَاسِبَةِ	
لهذه	لِهَذِهِ	لِهَٰذِهِ	
المشاكل	الْمَشَاكِلِ	الْمَشَاكِلِ	
،	،	،	
شارك	شَارَكَ	شَارَكَ	
فيه	فِيهِ	فِيهِ	
حضور	حُضُورٌ	حُضُورٌ	
من	مِنْ	مِنَ	
المحررين	الْمُحَرِّرِينَ	الْمُحَرِّرِينَ	
العرب	الْعَرَبِ	الْعَرَبِ	
وغير	وَغَيْرِ	وَغَيْرِ	
العرب	الْعَرَبِ	الْعَرَبِ	
.	.	.	
كما	كَمَا	كَمَا	
تناولت	تَنَاوَلَتْ	تَنَاوَلَتْ	
محاضرة	مُحَاضَرَةٌ	مُحَاضَرَةٌ	
أخرى	أُخْرَى	أُخْرَى	
سير	سَيْرَ	سَيْرَ	
وإنجازات	وَإِنْجَازَاتِ	وَإِنْجَازَاتِ	
مشروع	مَشْرُوعِ	مَشْرُوعِ	
برنامج	بَرْنَامَجِ	بَرْنَامَجِ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
للتعليم	لِلتَّعْلِيمِ	لِلتَّعْلِيمِ	
في	فِي	فِي	
مصر	مِصْرَ	مِصْرَ	
ومجمل	وَمُجْمَلِ	وَمُجْمَلِ	
العالم	الْعَالَمِ	الْعَالَمِ	
العربي	الْعَرَبِيِّ	الْعَرَبِيِّ	
.	.	.	
			
وكان	وَكَانَ	وَكَانَ	
ختام	خِتَامُ	خِتَامُ	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
أخيرا	أَخِيرًا	أَخِيرًا	
في	فِي	فِي	
يوم	يَوْمِ	يَوْمِ	
الأحد	الْأَحَدِ	الْأَحَدِ	
الحادي	الْحَادِي	الْحَادِي	
عشر	عَشَرَ	عَشَرَ	
من	مِنْ	مِنْ	
أغسطس	أُغُسْطُسَ	أُغُسْطُسَ	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
تحدث	تَحَدَّثَ	تَحَدَّثَ	
مجلس	مَجْلِسُ	مَجْلِسُ	
أمناء	أُمَنَاءِ	أُمَنَاءِ	
مؤسسة	مُؤَسَّسَةِ	مُؤَسَّسَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
عن	عَنْ	عَنْ	
مشاريع	مَشَارِيعِ	مَشَارِيعِ	
المؤسسة	الْمُؤَسَّسَةِ	الْمُؤَسَّسَةِ	
وأهدافها	وَأَهْدَافِهَا	وَأَهْدَافِهَا	
المستقبلية	الْمُسْتَقْبَلِيَّةِ	الْمُسْتَقْبَلِيَّةِ	
،	،	،	
وكانت	وَكَانَتْ	وَكَانَتْ	
هناك	هُنَاكَ	هُنَاكَ	
فقرة	فِقْرَةُ	فِقْرَةُ	فَقْرَةُ
أسئلة	أَسْئِلَةٍ	أَسْئِلَةٍ	
وأجوبة	وَأَجْوِبَةٍ	وَأَجْوِبَةٍ	
تحاور	تَحَاوَرَ	تَحَاوَرَ	
فيها	فِيهَا	فِيهَا	
الحضور	الْحُضُورُ	الْحُضُورُ	
مع	مَعَ	مَعَ	
المجلس	الْمَجْلِسِ	الْمَجْلِسِ	
،	،	،	
كما	كَمَا	كَمَا	
خصصت	خُصِّصَتْ	خُصِّصَتْ	
فقرة	فِقْرَةٌ	فِقْرَةٌ	فَقْرَةٌ
لتوديع	لِتَوْدِيعِ	لِتَوْدِيعِ	
سو	سُو	سُو	
غاردنر	غَارْدِنَرْ	غَارْدِنَرْ	
،	،	،	
المديرة	الْمُدِيرَةِ	اَلْمُدِيرَةِ	
التنفيذية	التَّنْفِيذِيَّةِ	التَّنْفِيذِيَّةِ	
لمؤسسة	لِمُؤَسَّسَةِ	لِمُؤَسَّسَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
منذ	مُنْذُ	مُنْذُ	
تأسيسها	تَأْسِيسِهَا	تَأْسِيسِهَا	
والتي	وَالَّتِي	وَالَّتِي	
أعلنت	أَعْلَنَتْ	أَعْلَنَتِ	
استقالتها	اسْتِقَالَتَهَا	اسْتِقَالَتَهَا	
قبل	قَبْلَ	قَبْلَ	
شهور	شُهُورٍ	شُهُورٍ	
،	،	،	
حيث	حَيْثُ	حَيْثُ	
تحدث	تَحَدَّثَ	تَحَدَّثَ	
عن	عَنْ	عَنْ	
إنجازاتها	إِنْجَازَاتِهَا	إِنْجَازَاتِهَا	
وأعمالها	وَأَعْمَالِهَا	وَأَعْمَالِهَا	
العديد	الْعَدِيدُ	الْعَدِيدُ	
من	مِنْ	مِنْ	
مسؤولي	مَسْؤُولِي	مَسْؤُولِي	
المؤسسة	الْمُؤَسَّسَةِ	الْمُؤَسَّسَةِ	
وناشطي	وَنَاشِطِي	وَنَاشِطِي	
حركة	حَرَكَةِ	حَرَكَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
.	.	.	
وأخيرا	وَأَخِيرًا	وَأَخِيرًا	
كانت	كَانَتْ	كَانَتْ	
هناك	هُنَاكَ	هُنَاكَ	
كلمة	كَلِمَةٌ	كَلِمَةٌ	
لمنظمي	لِمُنَظِّمِي	لِمُنَظِّمِي	
مؤتمر	مُؤْتَمَرِ	مُؤْتَمَرِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
القادم	الْقَادِمِ	الْقَادِمِ	
،	،	،	
والذي	وَالَّذِي	وَالَّذِي	
سيقام	سَيُقَامُ	سَيُقَامُ	
في	فِي	فِي	
لندن	لَنْدَنْ	لَنْدَنْ	
بشهر	بِشَهْرِ	بِشَهْرِ	
أغسطس	أُغُسْطُسَ	أُغُسْطُسَ	
التالي	التَّالِي	التَّالِي	
،	،	،	
وأعطى	وَأَعْطَى	وَأَعْطَى	
منظمو	مُنَظِّمُو	مُنَظِّمُو	
المؤتمر	الْمُؤْتَمَرِ	الْمُؤْتَمَرِ	
الحضور	الْحُضُورَ	الْحُضُورَ	
لمحة	لَمْحَةً	لَمْحَةً	
عن	عَنْ	عَنْ	
إعدادات	إِعْدَادَاتِ	إِعْدَادَاتِ	
وتجهيزات	وَتَجْهِيزَاتِ	وَتَجْهِيزَاتِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
2014	2014	2014	
.	.	.	
			
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
مؤتمر	مُؤْتَمَرٌ	مُؤْتَمَرٌ	
سنوي	سَنَوِيٌّ	سَنَوِيٌّ	
ينظمه	يُنَظِّمُهُ	يُنَظِّمُهُ	
متطوعو	مُتَطَوِّعُو	مُتَطَوِّعُو	
حركة	حَرَكَةِ	حَرَكَةِ	
ويكيميديا	وِيكِيمِيدْيَا	وِيكِيمِيدْيَا	
منذ	مُنْذُ	مُنْذُ	
تسع	تِسْعِ	تِسْعِ	
سنوات	سَنَوَاتٍ	سَنَوَاتٍ	
لمناقشة	لِمُنَاقَشَةِ	لِمُنَاقَشَةِ	
الشؤون	الشُّؤُونِ	الشُّؤُونِ	
المتعلقة	الْمُتَعَلِّقَةِ	الْمُتَعَلِّقَةِ	
بتطوير	بِتَطْوِيرِ	بِتَطْوِيرِ	
موسوعة	مَوْسُوعَةِ	مَوْسُوعَةِ	
ويكيبيديا	وِيكِيبِيدْيَا	وِيكِيبِيدْيَا	
ومشاريعها	وَمَشَارِيعِهَا	وَمَشَارِيعِهَا	
الشقيقة	الشَّقِيقَةِ	الشَّقِيقَةِ	
،	،	،	
وكان	وَكَانَ	وَكَانَ	
قد	قَدْ	قَدْ	
أقيم	أُقِيمَ	أُقِيمَ	
للمرة	لِلْمَرَّةِ	لِلْمَرَّةِ	
الأولى	الْأُولَى	الْأُولَى	
في	فِي	فِي	
فرانكفورت	فَرَانْكِفُورْتْ	فَرَانْكِفُورْتْ	فْرَانْكْفُورْتْ
بألمانيا	بِأَلْمَانْيَا	بِأَلْمَانْيَا	بِأَلْمَانِيَا
عام	عَامَ	عَامَ	
2005	2005	2005	
،	،	،	
ونظم	وَنُظِّمَ	وَنُظِّمَ	
للمرة	لِلْمَرَّةِ	لِلْمَرَّةِ	
الأولى	الْأُولَى	الْأُولَى	
في	فِي	فِي	
الوطن	الْوَطَنِ	الْوَطَنِ	
العربي	الْعَرَبِيِّ	الْعَرَبِيِّ	
عام	عَامَ	عَامَ	
2008	2008	2008	
بالإسكندرية	بِالْإِسْكَنْدَرِيَّةِ	بِالْإِسْكَنْدَرِيَّةِ	
،	،	،	
ويأتي	وَيَأْتِي	وَيَأْتِي	
مؤتمر	مُؤْتَمَرُ	مُؤْتَمَرُ	
هونغ	هُونْغْ	هُونْغْ	
كونغ	كُونْغْ	كُونْغْ	
تاسعا	تَاسِعًا	تَاسِعًا	
في	فِي	فِي	
تاريخ	تَارِيخِ	تَارِيخِ	
ويكيمانيا	وِيكِيمَانْيَا	وِيكِيمَانْيَا	
.	.	.	
			
وفاة	وَفَاةُ	وَفَاةُ	
الشاعر	الشَّاعِرِ	الشَّاعِرِ	
السوري	السُّورِيِّ	السُّورِيِّ	
الكبير	الْكَبِيرِ	الْكَبِيرِ	
سليمان	سُلَيْمَانَ	سُلَيْمَانَ	
العيسى	الْعِيسَى	الْعِيسَى	
			
توفي	تُوُفِّيَ	تُوُفِّيَ	
صباح	صَبَاحَ	صَبَاحَ	
اليوم	الْيَوْمِ	الْيَوْمِ	
في	فِي	فِي	
دمشق	دِمَشْقَ	دِمَشْقَ	
الشاعر	الشَّاعِرُ	الشَّاعِرُ	
السوري	السُّورِيُّ	السُّورِيُّ	
سليمان	سُلَيْمَانُ	سُلَيْمَانُ	
العيسى	الْعِيسَى	الْعِيسَى	
عن	عَنْ	عَنْ	
عمر	عُمْرِ	عُمْرِ	
92	92	92	
سنة	سَنَةً	سَنَةً	
بعد	بَعْدَ	بَعْدَ	
أن	أَنْ	أَنْ	
دخل	دَخَلَ	دَخَلَ	
المشفى	الْمَشْفَى	الْمَشْفَى	
منذ	مُنْذُ	مُنْذُ	
أيام	أَيَّامٍ	أَيَّامٍ	
إثر	إِثْرَ	إِثْرَ	
تدهور	تَدَهْوُرٍ	تَدَهْوُرٍ	
في	فِي	فِي	
حالته	حَالَتِهِ	حَالَتِهِ	
الصحية	الصِّحِّيَّةِ	الصِّحِّيَّةِ	
.	.	.	
وأصدر	وَأَصْدَرَ	وَأَصْدَرَ	
اتحاد	اتِّحَادُ	اتِّحَادُ	
الكتاب	الْكُتَّابِ	الْكُتَّابِ	
العرب	الْعَرَبِ	الْعَرَبِ	
بيانا	بَيَانًا	بَيَانًا	
نعى	نَعَى	نَعَى	
فيه	فِيهِ	فِيهِ	
الشاعر	الشَّاعِرَ	الشَّاعِرَ	
الكبير	الْكَبِيرَ	الْكَبِيرَ	
.	.	.	
وسوف	وَسَوْفَ	وَسَوْفَ	
يشيع	يُشَيَّعُ	يُشَيَّعُ	
جثمانه	جُثْمَانُهُ	جُثْمَانُهُ	
من	مِنْ	مِنْ	
مشفى	مَشْفَى	مَشْفَى	
الأسد	الْأَسَدِ	الْأَسَدِ	
الجامعي	الْجَامِعِيِّ	الْجَامِعِيِّ	
بدمشق	بِدِمَشْقَ	بِدِمَشْقَ	
،	،	،	
ويدفن	وَيُدْفَنُ	وَيُدْفَنُ	
في	فِي	فِي	
مقبرة	مَقْبَرَةِ	مَقْبَرَةِ	
الشيخ	الشَّيْخِ	الشَّيْخِ	
رسلان	رَسْلَانَ	رَسْلَانَ	
.	.	.	
			
عانى	عَانَى	عَانَى	
سليمان	سُلَيْمَانُ	سُلَيْمَانُ	
العيسى	الْعِيسَى	الْعِيسَى	
من	مِنْ	مِنْ	
مرض	مَرَضٍ	مَرَضٍ	
عضال	عُضَالٍ	عُضَالٍ	
في	فِي	فِي	
السنوات	السَّنَوَاتِ	السَّنَوَاتِ	
الماضية	الْمَاضِيَةِ	الْمَاضِيَةِ	
،	،	،	
لكنه	لَكِنَّهُ	لَكِنَّهُ	
حافظ	حَافَظَ	حَافَظَ	
على	عَلَى	عَلَى	
وعيه	وَعْيِهِ	وَعْيِهِ	
حتى	حَتَّى	حَتَّى	
آخر	آخِرِ	آخِرِ	
دقائق	دَقَائِقِ	دَقَائِقِ	
حياته	حَيَاتِهِ	حَيَاتِهِ	
حسب	حَسَبَ	حَسَبَ	
ما	مَا	مَا	
أفادت	أَفَادَتْ	أَفَادَتْ	
زوجته	زَوْجَتُهُ	زَوْجَتُهُ	
الدكتورة	الدُّكْتُورَةُ	الدُّكْتُورَةُ	
ملكة	مَلَكَةُ	مَلَكَةُ	
أبيض	أَبْيَضَ	أَبْيَضَ	
،	،	،	
وبقي	وَبَقِيَ	وَبَقِيَ	
مهتما	مُهْتَمًّا	مُهْتَمًّا	
بما	بِمَا	بِمَا	
يحدث	يَحْدُثُ	يَحْدُثُ	
حوله	حَوْلَهُ	حَوْلَهُ	
،	،	،	
ولو	وَلَوْ	وَلَوْ	
أنه	أَنَّهُ	أَنَّهُ	
عانى	عَانَى	عَانَى	
من	مِنْ	مِنْ	
صعوبة	صُعُوبَةٍ	صُعُوبَةٍ	
في	فِي	فِي	
النطق	النُّطْقِ	النُّطْقِ	
.	.	.	
			
وأشار	وَأَشَارَ	وَأَشَارَ	
بيان	بَيَانُ	بَيَانُ	
اتحاد	اتِّحَادِ	اتِّحَادِ	
الكتاب	الْكُتَّابِ	الْكُتَّابِ	
العرب	الْعَرَبِ	الْعَرَبِ	
أن	أَنَّ	أَنَّ	
تاريخ	تَارِيخَ	تَارِيخَ	
وفاة	وَفَاةِ	وَفَاةِ	
سليمان	سُلَيْمَانَ	سُلَيْمَانَ	
العيسى	الْعِيسَى	الْعِيسَى	
يصادف	يُصَادِفُ	يُصَادِفُ	
الذكرى	الذِّكْرَى	الذِّكْرَى	
الخامسة	الْخَامِسَةَ	الْخَامِسَةَ	
لوفاة	لِوَفَاةِ	لِوَفَاةِ	
الشاعر	الشَّاعِرِ	الشَّاعِرِ	
الفلسطيني	الْفِلَسْطِينِيِّ	الْفِلَسْطِينِيِّ	
الكبير	الْكَبِيرِ	الْكَبِيرِ	
محمود	مَحْمُودِ	مَحْمُودِ	
